year,week,week_ending_date,region,state,city,pneumonia_and_influenza_deaths,all_deaths,_1_year,_1_24_years,_25_44_years,_54_64_years,_65_years,month,day
1993,52,01/01/1994,1,MA,Boston,18,158,7,5,8,33,105,1,1
1994,1,01/08/1994,1,MA,Boston,19,168,6,4,21,29,108,1,8
1994,2,01/15/1994,1,MA,Boston,21,173,5,0,19,43,106,1,15
1994,3,01/22/1994,1,MA,Boston,23,174,9,2,21,33,109,1,22
1994,4,01/29/1994,1,MA,Boston,27,158,2,5,20,33,98,1,29
1994,5,02/05/1994,1,MA,Boston,15,160,7,3,17,33,100,2,5
1994,6,02/12/1994,1,MA,Boston,20,163,3,7,20,30,103,2,12
1994,7,02/19/1994,1,MA,Boston,30,194,6,8,21,34,125,2,19
1994,8,02/26/1994,1,MA,Boston,26,177,6,7,16,41,107,2,26
1994,9,03/05/1994,1,MA,Boston,25,196,7,5,22,32,129,3,5
1994,10,03/12/1994,1,MA,Boston,25,193,7,9,17,45,115,3,12
1994,11,03/19/1994,1,MA,Boston,23,190,4,9,27,34,115,3,19
1994,12,03/26/1994,1,MA,Boston,17,189,5,5,23,40,116,3,26
1994,13,04/02/1994,1,MA,Boston,9,152,6,8,24,29,85,4,2
1994,14,04/09/1994,1,MA,Boston,17,155,11,2,20,37,85,4,9
1994,15,04/16/1994,1,MA,Boston,19,157,6,0,17,30,104,4,16
1994,16,04/23/1994,1,MA,Boston,5,60,2,2,2,12,42,4,23
1994,17,04/30/1994,1,MA,Boston,17,148,6,7,15,31,89,4,30
1994,18,05/07/1994,1,MA,Boston,19,151,3,1,18,29,100,5,7
1994,19,05/14/1994,1,MA,Boston,27,172,8,8,19,36,101,5,14
1994,20,05/21/1994,1,MA,Boston,14,163,6,10,16,32,99,5,21
1994,21,05/28/1994,1,MA,Boston,33,182,10,2,18,34,118,5,28
1994,22,06/04/1994,1,MA,Boston,23,138,7,4,19,23,85,6,4
1994,23,06/11/1994,1,MA,Boston,17,163,3,8,19,36,97,6,11
1994,24,06/18/1994,1,MA,Boston,25,165,10,6,10,40,99,6,18
1994,25,06/25/1994,1,MA,Boston,25,171,3,1,14,36,117,6,25
1994,26,07/02/1994,1,MA,Boston,24,176,8,9,21,37,101,7,2
1994,27,07/09/1994,1,MA,Boston,18,162,6,8,19,36,93,7,9
1994,28,07/16/1994,1,MA,Boston,13,152,9,4,22,25,92,7,16
1994,29,07/23/1994,1,MA,Boston,21,157,12,4,15,33,93,7,23
1994,30,07/30/1994,1,MA,Boston,16,179,11,4,21,30,113,7,30
1994,31,08/06/1994,1,MA,Boston,25,165,8,1,18,37,101,8,6
1994,32,08/13/1994,1,MA,Boston,21,137,5,1,16,29,85,8,13
1994,33,08/20/1994,1,MA,Boston,16,112,5,3,15,25,64,8,20
1994,34,08/27/1994,1,MA,Boston,11,139,8,8,19,25,79,8,27
1994,35,09/03/1994,1,MA,Boston,8,130,2,4,13,29,81,9,3
1994,36,09/10/1994,1,MA,Boston,1,96,6,3,13,22,52,9,10
1994,37,09/17/1994,1,MA,Boston,15,140,4,5,14,41,76,9,17
1994,38,09/24/1994,1,MA,Boston,17,149,6,6,12,21,104,9,24
1994,39,10/01/1994,1,MA,Boston,11,111,4,1,9,21,76,10,1
1994,40,10/08/1994,1,MA,Boston,16,171,3,5,28,33,102,10,8
1994,41,10/15/1994,1,MA,Boston,11,162,3,8,21,31,99,10,15
1994,42,10/22/1994,1,MA,Boston,14,174,4,4,23,40,103,10,22
1994,43,10/29/1994,1,MA,Boston,7,135,3,4,13,22,93,10,29
1994,44,11/05/1994,1,MA,Boston,17,205,5,3,27,40,130,11,5
1994,45,11/12/1994,1,MA,Boston,15,150,0,6,18,33,93,11,12
1994,46,11/19/1994,1,MA,Boston,10,165,9,2,22,37,95,11,19
1994,47,11/26/1994,1,MA,Boston,7,139,5,7,21,26,80,11,26
1994,48,12/03/1994,1,MA,Boston,15,204,8,11,19,43,123,12,3
1994,49,12/10/1994,1,MA,Boston,13,138,4,2,14,33,85,12,10
1994,50,12/17/1994,1,MA,Boston,14,172,3,7,18,34,110,12,17
1994,51,12/24/1994,1,MA,Boston,9,148,7,8,23,26,83,12,24
1994,52,12/31/1994,1,MA,Boston,15,147,1,2,15,21,108,12,31
1995,1,01/07/1995,1,MA,Boston,18,179,6,4,20,38,111,1,7
1995,2,01/14/1995,1,MA,Boston,0,182,9,5,16,35,117,1,14
1995,3,01/21/1995,1,MA,Boston,11,144,4,2,15,22,101,1,21
1995,4,01/28/1995,1,MA,Boston,17,186,4,3,20,36,123,1,28
1995,5,02/04/1995,1,MA,Boston,8,118,3,1,17,22,75,2,4
1995,6,02/11/1995,1,MA,Boston,17,188,5,18,26,32,107,2,11
1995,7,02/18/1995,1,MA,Boston,9,180,6,4,10,35,125,2,18
1995,8,02/25/1995,1,MA,Boston,19,194,8,6,25,30,125,2,25
1995,9,03/04/1995,1,MA,Boston,14,171,7,4,19,31,108,3,4
1995,10,03/11/1995,1,MA,Boston,7,151,6,2,11,24,108,3,11
1995,11,03/18/1995,1,MA,Boston,14,180,7,7,24,35,107,3,18
1995,12,03/25/1995,1,MA,Boston,19,149,3,4,11,19,112,3,25
1995,13,04/01/1995,1,MA,Boston,18,194,2,7,24,29,132,4,1
1995,14,04/08/1995,1,MA,Boston,1,138,4,11,8,26,88,4,8
1995,15,04/15/1995,1,MA,Boston,6,161,13,4,10,35,99,4,15
1995,16,04/22/1995,1,MA,Boston,8,138,2,4,18,31,83,4,22
1995,17,04/29/1995,1,MA,Boston,3,140,5,6,16,25,88,4,29
1995,18,05/06/1995,1,MA,Boston,6,155,5,2,18,36,94,5,6
1995,19,05/13/1995,1,MA,Boston,5,135,3,6,19,27,79,5,13
1995,20,05/20/1995,1,MA,Boston,4,184,5,3,25,40,111,5,20
1995,21,05/27/1995,1,MA,Boston,5,122,4,3,14,28,73,5,27
1995,22,06/03/1995,1,MA,Boston,3,177,5,4,14,31,123,6,3
1995,23,06/10/1995,1,MA,Boston,6,144,8,10,19,30,77,6,10
1995,24,06/17/1995,1,MA,Boston,5,163,8,5,27,26,97,6,17
1995,25,06/24/1995,1,MA,Boston,3,155,3,3,19,33,97,6,24
1995,26,07/01/1995,1,MA,Boston,6,161,8,2,14,36,101,7,1
1995,27,07/08/1995,1,MA,Boston,9,151,9,9,17,29,87,7,8
1995,28,07/15/1995,1,MA,Boston,10,154,8,2,21,26,97,7,15
1995,29,07/22/1995,1,MA,Boston,4,177,6,5,18,38,110,7,22
1995,30,07/29/1995,1,MA,Boston,8,136,6,3,16,24,87,7,29
1995,31,08/05/1995,1,MA,Boston,6,165,4,3,19,30,109,8,5
1995,32,08/12/1995,1,MA,Boston,4,171,8,9,21,34,99,8,12
1995,33,08/19/1995,1,MA,Boston,6,153,3,6,21,30,93,8,19
1995,34,08/26/1995,1,MA,Boston,4,138,1,5,16,33,82,8,26
1995,35,09/02/1995,1,MA,Boston,4,165,9,4,17,38,97,9,2
1995,36,09/09/1995,1,MA,Boston,22,183,6,8,19,48,102,9,9
1995,37,09/16/1995,1,MA,Boston,1,134,2,6,11,22,93,9,16
1995,38,09/23/1995,1,MA,Boston,4,141,6,3,19,28,85,9,23
1995,39,09/30/1995,1,MA,Boston,7,141,5,4,15,33,84,9,30
1995,40,10/07/1995,1,MA,Boston,6,173,3,1,15,29,125,10,7
1995,41,10/14/1995,1,MA,Boston,7,147,11,3,12,27,94,10,14
1995,42,10/21/1995,1,MA,Boston,3,156,6,7,14,40,89,10,21
1995,43,10/28/1995,1,MA,Boston,9,205,14,1,29,41,120,10,28
1995,44,11/04/1995,1,MA,Boston,4,131,8,6,9,28,80,11,4
1995,45,11/11/1995,1,MA,Boston,6,130,4,1,16,27,82,11,11
1995,46,11/18/1995,1,MA,Boston,16,159,6,11,18,26,98,11,18
1995,47,11/25/1995,1,MA,Boston,18,146,10,3,11,30,92,11,25
1995,48,12/02/1995,1,MA,Boston,9,125,6,4,19,21,75,12,2
1995,49,12/09/1995,1,MA,Boston,14,144,3,3,17,18,103,12,9
1995,50,12/16/1995,1,MA,Boston,20,144,2,3,13,32,94,12,16
1995,51,12/23/1995,1,MA,Boston,8,169,4,4,18,33,110,12,23
1995,52,12/30/1995,1,MA,Boston,8,193,5,5,14,42,127,12,30
1996,1,01/06/1996,1,MA,Boston,10,145,4,1,10,32,98,1,6
1996,2,01/13/1996,1,MA,Boston,8,177,9,4,12,39,113,1,13
1996,3,01/20/1996,1,MA,Boston,11,219,7,3,16,43,150,1,20
1996,4,01/27/1996,1,MA,Boston,2,190,6,8,7,41,128,1,27
1996,5,02/03/1996,1,MA,Boston,6,190,4,11,13,46,116,2,3
1996,6,02/10/1996,1,MA,Boston,1,149,6,2,20,36,85,2,10
1996,7,02/17/1996,1,MA,Boston,4,146,9,5,14,22,96,2,17
1996,8,02/24/1996,1,MA,Boston,7,188,2,8,18,34,126,2,24
1996,9,03/02/1996,1,MA,Boston,2,121,4,4,10,26,76,3,2
1996,10,03/09/1996,1,MA,Boston,5,156,3,3,11,28,111,3,9
1996,11,03/16/1996,1,MA,Boston,9,130,4,0,11,30,85,3,16
1996,12,03/23/1996,1,MA,Boston,18,151,4,3,19,27,98,3,23
1996,13,03/30/1996,1,MA,Boston,8,157,5,0,15,30,106,3,30
1996,14,04/06/1996,1,MA,Boston,7,151,3,2,9,32,104,4,6
1996,15,04/13/1996,1,MA,Boston,5,139,3,13,11,29,82,4,13
1996,16,04/20/1996,1,MA,Boston,17,211,3,8,28,34,138,4,20
1996,17,04/27/1996,1,MA,Boston,3,139,5,6,14,36,78,4,27
1996,18,05/04/1996,1,MA,Boston,9,118,2,3,20,29,62,5,4
1996,19,05/11/1996,1,MA,Boston,7,154,6,4,11,37,96,5,11
1996,20,05/18/1996,1,MA,Boston,9,183,6,9,21,46,101,5,18
1996,21,05/25/1996,1,MA,Boston,12,185,7,9,27,47,95,5,25
1996,22,06/01/1996,1,MA,Boston,16,137,2,5,11,26,93,6,1
1996,23,06/08/1996,1,MA,Boston,3,183,7,5,24,36,111,6,8
1996,24,06/15/1996,1,MA,Boston,1,153,6,3,18,32,94,6,15
1996,25,06/22/1996,1,MA,Boston,17,143,6,4,15,26,92,6,22
1996,26,06/29/1996,1,MA,Boston,1,158,7,5,22,36,88,6,29
1996,27,07/06/1996,1,MA,Boston,1,111,2,2,14,24,69,7,6
1996,28,07/13/1996,1,MA,Boston,1,133,2,2,16,28,85,7,13
1996,29,07/20/1996,1,MA,Boston,9,144,4,4,11,23,102,7,20
1996,30,07/27/1996,1,MA,Boston,5,126,4,7,11,26,78,7,27
1996,31,08/03/1996,1,MA,Boston,6,149,7,6,11,19,106,8,3
1996,32,08/10/1996,1,MA,Boston,9,145,5,6,12,28,94,8,10
1996,33,08/17/1996,1,MA,Boston,7,166,6,6,16,41,97,8,17
1996,34,08/24/1996,1,MA,Boston,2,125,1,1,17,19,87,8,24
1996,35,08/31/1996,1,MA,Boston,3,125,2,4,15,19,85,8,31
1996,36,09/07/1996,1,MA,Boston,10,152,5,8,12,21,106,9,7
1996,37,09/14/1996,1,MA,Boston,3,126,2,3,15,15,91,9,14
1996,38,09/21/1996,1,MA,Boston,4,130,1,4,13,24,88,9,21
1996,39,09/28/1996,1,MA,Boston,1,154,4,2,15,39,94,9,28
1996,40,10/05/1996,1,MA,Boston,3,144,6,9,10,17,102,10,5
1996,41,10/12/1996,1,MA,Boston,4,130,2,3,10,26,89,10,12
1996,42,10/19/1996,1,MA,Boston,4,119,2,1,13,28,75,10,19
1996,43,10/26/1996,1,MA,Boston,6,181,3,5,9,34,130,10,26
1996,44,11/02/1996,1,MA,Boston,6,143,3,5,12,30,93,11,2
1996,45,11/09/1996,1,MA,Boston,3,146,1,2,12,34,97,11,9
1996,46,11/16/1996,1,MA,Boston,19,137,4,1,6,28,98,11,16
1996,47,11/23/1996,1,MA,Boston,5,186,6,7,12,20,140,11,23
1996,48,11/30/1996,1,MA,Boston,3,123,1,4,10,22,86,11,30
1996,49,12/07/1996,1,MA,Boston,2,145,6,2,15,18,104,12,7
1996,50,12/14/1996,1,MA,Boston,5,172,7,2,11,34,118,12,14
1996,51,12/21/1996,1,MA,Boston,8,164,3,4,6,40,111,12,21
1996,52,12/28/1996,1,MA,Boston,17,149,5,5,17,32,90,12,28
1997,1,01/04/1997,1,MA,Boston,3,134,6,5,14,23,86,1,4
1997,2,01/11/1997,1,MA,Boston,10,165,5,6,14,29,111,1,11
1997,3,01/18/1997,1,MA,Boston,22,168,4,5,16,29,114,1,18
1997,4,01/25/1997,1,MA,Boston,21,152,10,4,11,32,95,1,25
1997,5,02/01/1997,1,MA,Boston,13,176,4,4,22,31,115,2,1
1997,6,02/08/1997,1,MA,Boston,21,152,4,4,20,26,98,2,8
1997,7,02/15/1997,1,MA,Boston,11,136,7,5,11,30,83,2,15
1997,8,02/22/1997,1,MA,Boston,10,126,5,3,14,27,77,2,22
1997,9,03/01/1997,1,MA,Boston,16,140,3,7,10,25,95,3,1
1997,10,03/08/1997,1,MA,Boston,15,189,8,3,12,50,115,3,8
1997,11,03/15/1997,1,MA,Boston,15,165,4,8,8,37,108,3,15
1997,12,03/22/1997,1,MA,Boston,9,168,3,7,12,25,121,3,22
1997,13,03/29/1997,1,MA,Boston,12,170,4,10,16,32,108,3,29
1997,14,04/05/1997,1,MA,Boston,20,139,9,7,14,23,86,4,5
1997,15,04/12/1997,1,MA,Boston,24,162,2,6,10,31,113,4,12
1997,16,04/19/1997,1,MA,Boston,13,151,2,4,19,21,105,4,19
1997,17,04/26/1997,1,MA,Boston,14,121,3,3,10,32,73,4,26
1997,18,05/03/1997,1,MA,Boston,12,153,8,3,12,24,106,5,3
1997,19,05/10/1997,1,MA,Boston,12,149,6,6,9,28,100,5,10
1997,20,05/17/1997,1,MA,Boston,9,141,5,5,5,27,99,5,17
1997,21,05/24/1997,1,MA,Boston,7,125,2,8,8,25,82,5,24
1997,22,05/31/1997,1,MA,Boston,20,144,6,7,12,33,86,5,31
1997,23,06/07/1997,1,MA,Boston,19,157,0,2,11,34,110,6,7
1997,24,06/14/1997,1,MA,Boston,8,121,5,8,7,22,79,6,14
1997,25,06/21/1997,1,MA,Boston,17,165,1,8,8,39,109,6,21
1997,26,06/28/1997,1,MA,Boston,15,165,8,3,13,35,106,6,28
1997,27,07/05/1997,1,MA,Boston,11,141,2,5,12,32,90,7,5
1997,28,07/12/1997,1,MA,Boston,9,149,3,3,12,41,90,7,12
1997,29,07/19/1997,1,MA,Boston,5,146,3,5,14,34,90,7,19
1997,30,07/26/1997,1,MA,Boston,2,138,2,8,12,25,91,7,26
1997,31,08/02/1997,1,MA,Boston,13,139,3,4,15,30,87,8,2
1997,32,08/09/1997,1,MA,Boston,9,162,4,11,19,32,96,8,9
1997,33,08/16/1997,1,MA,Boston,11,136,4,12,33,27,60,8,16
1997,34,08/23/1997,1,MA,Boston,12,141,3,9,16,32,81,8,23
1997,35,08/30/1997,1,MA,Boston,12,135,11,3,8,24,89,8,30
1997,36,09/06/1997,1,MA,Boston,6,139,9,4,12,26,88,9,6
1997,37,09/13/1997,1,MA,Boston,12,128,6,4,9,28,81,9,13
1997,38,09/20/1997,1,MA,Boston,12,150,1,8,14,26,101,9,20
1997,39,09/27/1997,1,MA,Boston,8,93,1,5,6,29,52,9,27
1997,40,10/04/1997,1,MA,Boston,16,150,6,7,9,34,94,10,4
1997,41,10/11/1997,1,MA,Boston,10,113,1,5,10,17,80,10,11
1997,42,10/18/1997,1,MA,Boston,6,133,3,3,17,21,89,10,18
1997,43,10/25/1997,1,MA,Boston,14,137,6,4,8,31,88,10,25
1997,44,11/01/1997,1,MA,Boston,10,158,5,3,13,36,101,11,1
1997,45,11/08/1997,1,MA,Boston,6,143,0,7,12,24,100,11,8
1997,46,11/15/1997,1,MA,Boston,17,158,2,7,16,26,106,11,15
1997,47,11/22/1997,1,MA,Boston,11,168,7,5,11,40,105,11,22
1997,48,11/29/1997,1,MA,Boston,12,152,9,4,14,21,104,11,29
1997,49,12/06/1997,1,MA,Boston,28,177,4,1,10,39,123,12,6
1997,50,12/13/1997,1,MA,Boston,17,151,8,4,14,32,93,12,13
1997,51,12/20/1997,1,MA,Boston,11,143,9,5,8,31,90,12,20
1997,52,12/27/1997,1,MA,Boston,21,177,2,7,8,31,129,12,27
1997,53,01/03/1998,1,MA,Boston,14,169,10,1,20,26,112,1,3
1998,1,01/10/1998,1,MA,Boston,23,199,5,8,6,43,137,1,10
1998,2,01/17/1998,1,MA,Boston,33,199,7,7,11,34,140,1,17
1998,3,01/24/1998,1,MA,Boston,15,135,3,4,5,24,99,1,24
1998,4,01/31/1998,1,MA,Boston,24,197,0,6,25,34,132,1,31
1998,5,02/07/1998,1,MA,Boston,25,211,2,3,14,32,160,2,7
1998,6,02/14/1998,1,MA,Boston,26,163,0,5,15,23,120,2,14
1998,7,02/21/1998,1,MA,Boston,25,180,1,4,8,39,128,2,21
1998,8,02/28/1998,1,MA,Boston,18,167,3,4,10,21,129,2,28
1998,9,03/07/1998,1,MA,Boston,23,170,3,3,17,30,117,3,7
1998,10,03/14/1998,1,MA,Boston,16,152,5,8,11,34,94,3,14
1998,11,03/21/1998,1,MA,Boston,17,170,12,5,12,28,113,3,21
1998,12,03/28/1998,1,MA,Boston,17,143,5,3,16,38,81,3,28
1998,13,04/04/1998,1,MA,Boston,17,155,6,6,8,30,105,4,4
1998,14,04/11/1998,1,MA,Boston,15,122,7,2,5,22,85,4,11
1998,15,04/18/1998,1,MA,Boston,14,147,4,4,8,31,100,4,18
1998,16,04/25/1998,1,MA,Boston,13,123,3,3,13,30,74,4,25
1998,17,05/02/1998,1,MA,Boston,19,154,0,1,10,39,104,5,2
1998,18,05/09/1998,1,MA,Boston,14,125,4,2,6,30,83,5,9
1998,19,05/16/1998,1,MA,Boston,14,121,1,5,6,25,84,5,16
1998,20,05/23/1998,1,MA,Boston,11,130,2,4,10,27,87,5,23
1998,21,05/30/1998,1,MA,Boston,7,145,5,4,14,23,99,5,30
1998,22,06/06/1998,1,MA,Boston,11,140,5,3,8,31,93,6,6
1998,23,06/13/1998,1,MA,Boston,6,122,4,8,9,31,70,6,13
1998,24,06/20/1998,1,MA,Boston,13,119,5,5,5,27,77,6,20
